+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                  4 |   3 |       NEW |      READY |
|                  5 |   4 |       NEW |      READY |
|                  8 |   5 |       NEW |      READY |
|                 35 |   1 |   RUNNING |    WAITING |
|                 35 |   2 |     READY |    RUNNING |
|                 55 |   2 |   RUNNING |    WAITING |
|                 55 |   3 |     READY |    RUNNING |
|                 60 |   1 |   WAITING |      READY |
|                 70 |   3 |   RUNNING |    WAITING |
|                 70 |   1 |     READY |    RUNNING |
|                 80 |   2 |   WAITING |      READY |
|                100 |   3 |   WAITING |      READY |
|                105 |   1 |   RUNNING |    WAITING |
|                105 |   2 |     READY |    RUNNING |
|                125 |   2 |   RUNNING |    WAITING |
|                125 |   3 |     READY |    RUNNING |
|                130 |   1 |   WAITING |      READY |
|                140 |   3 |   RUNNING |    WAITING |
|                140 |   1 |     READY |    RUNNING |
|                150 |   2 |   WAITING |      READY |
|                170 |   3 |   WAITING |      READY |
|                175 |   1 |   RUNNING |    WAITING |
|                175 |   2 |     READY |    RUNNING |
|                195 |   2 |   RUNNING |    WAITING |
|                195 |   3 |     READY |    RUNNING |
|                200 |   1 |   WAITING |      READY |
|                210 |   3 |   RUNNING |    WAITING |
|                210 |   1 |     READY |    RUNNING |
|                220 |   2 |   WAITING |      READY |
|                240 |   3 |   WAITING |      READY |
|                245 |   1 |   RUNNING |    WAITING |
|                245 |   2 |     READY |    RUNNING |
|                265 |   2 |   RUNNING |    WAITING |
|                265 |   3 |     READY |    RUNNING |
|                270 |   1 |   WAITING |      READY |
|                280 |   3 |   RUNNING |    WAITING |
|                280 |   1 |     READY |    RUNNING |
|                290 |   2 |   WAITING |      READY |
|                310 |   3 |   WAITING |      READY |
|                315 |   1 |   RUNNING |    WAITING |
|                315 |   2 |     READY |    RUNNING |
|                335 |   2 |   RUNNING |    WAITING |
|                335 |   3 |     READY |    RUNNING |
|                340 |   1 |   WAITING |      READY |
|                350 |   3 |   RUNNING |    WAITING |
|                350 |   1 |     READY |    RUNNING |
|                360 |   2 |   WAITING |      READY |
|                380 |   3 |   WAITING |      READY |
|                385 |   1 |   RUNNING |    WAITING |
|                385 |   2 |     READY |    RUNNING |
|                405 |   2 |   RUNNING |    WAITING |
|                405 |   3 |     READY |    RUNNING |
|                410 |   1 |   WAITING |      READY |
|                420 |   3 |   RUNNING |    WAITING |
|                420 |   1 |     READY |    RUNNING |
|                430 |   2 |   WAITING |      READY |
|                450 |   3 |   WAITING |      READY |
|                455 |   1 |   RUNNING |    WAITING |
|                455 |   2 |     READY |    RUNNING |
|                475 |   2 |   RUNNING |    WAITING |
|                475 |   3 |     READY |    RUNNING |
|                480 |   1 |   WAITING |      READY |
|                490 |   3 |   RUNNING |    WAITING |
|                490 |   1 |     READY |    RUNNING |
|                500 |   2 |   WAITING |      READY |
|                520 |   3 |   WAITING |      READY |
|                525 |   1 |   RUNNING |    WAITING |
|                525 |   2 |     READY |    RUNNING |
|                545 |   2 |   RUNNING |    WAITING |
|                545 |   3 |     READY |    RUNNING |
|                550 |   1 |   WAITING |      READY |
|                560 |   3 |   RUNNING |    WAITING |
|                560 |   1 |     READY |    RUNNING |
|                570 |   2 |   WAITING |      READY |
