+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |          10 |  -1, -1, -1, 1, -1, -1 |                90 |                 90 |
|             2 |          22 |   -1, -1, 2, 1, -1, -1 |                78 |                 75 |
|             4 |          37 |    -1, 3, 2, 1, -1, -1 |                63 |                 50 |
|             6 |          55 |     4, 3, 2, 1, -1, -1 |                45 |                 10 |
|          1300 |          45 |    4, 3, 2, -1, -1, -1 |                55 |                 20 |
|          1350 |          33 |   4, 3, -1, -1, -1, -1 |                67 |                 35 |
|          1470 |          15 |  -1, 3, -1, -1, -1, -1 |                85 |                 75 |
|          1471 |          35 |   5, 3, -1, -1, -1, -1 |                65 |                 35 |
|          1760 |          20 |  5, -1, -1, -1, -1, -1 |                80 |                 60 |
|          2150 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
