+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                 10 |   1 |   RUNNING |    WAITING |
|                 10 |   2 |     READY |    RUNNING |
|                 15 |   1 |   WAITING |      READY |
|                 18 |   2 |   RUNNING |    WAITING |
|                 18 |   1 |     READY |    RUNNING |
|                 22 |   2 |   WAITING |      READY |
|                 28 |   1 |   RUNNING |    WAITING |
|                 28 |   2 |     READY |    RUNNING |
|                 33 |   1 |   WAITING |      READY |
|                 36 |   2 |   RUNNING |    WAITING |
|                 36 |   1 |     READY |    RUNNING |
|                 40 |   2 |   WAITING |      READY |
|                 46 |   1 |   RUNNING |    WAITING |
|                 46 |   2 |     READY |    RUNNING |
|                 51 |   1 |   WAITING |      READY |
|                 54 |   2 |   RUNNING |    WAITING |
|                 54 |   1 |     READY |    RUNNING |
|                 58 |   2 |   WAITING |      READY |
|                 64 |   1 |   RUNNING | TERMINATED |
|                 64 |   2 |     READY |    RUNNING |
|                 65 |   3 |       NEW |      READY |
|                 72 |   2 |   RUNNING |    WAITING |
|                 72 |   3 |     READY |    RUNNING |
|                 76 |   2 |   WAITING |      READY |
|                 78 |   3 |   RUNNING |    WAITING |
|                 78 |   2 |     READY |    RUNNING |
|                 86 |   3 |   WAITING |      READY |
|                 86 |   2 |   RUNNING |    WAITING |
|                 86 |   3 |     READY |    RUNNING |
|                 90 |   2 |   WAITING |      READY |
|                 92 |   3 |   RUNNING |    WAITING |
|                 92 |   2 |     READY |    RUNNING |
|                100 |   3 |   WAITING |      READY |
|                100 |   2 |   RUNNING |    WAITING |
|                100 |   3 |     READY |    RUNNING |
|                104 |   2 |   WAITING |      READY |
|                106 |   3 |   RUNNING |    WAITING |
|                106 |   2 |     READY |    RUNNING |
|                114 |   3 |   WAITING |      READY |
|                114 |   2 |   RUNNING |    WAITING |
|                114 |   3 |     READY |    RUNNING |
|                118 |   2 |   WAITING |      READY |
|                120 |   3 |   RUNNING |    WAITING |
|                120 |   2 |     READY |    RUNNING |
|                124 |   2 |   RUNNING | TERMINATED |
|                125 |   4 |       NEW |      READY |
|                125 |   4 |     READY |    RUNNING |
|                128 |   3 |   WAITING |      READY |
|                130 |   4 |   RUNNING |    WAITING |
|                130 |   3 |     READY |    RUNNING |
|                136 |   4 |   WAITING |      READY |
|                136 |   3 |   RUNNING |    WAITING |
|                136 |   4 |     READY |    RUNNING |
|                141 |   4 |   RUNNING |    WAITING |
|                144 |   3 |   WAITING |      READY |
|                144 |   3 |     READY |    RUNNING |
|                147 |   4 |   WAITING |      READY |
|                150 |   3 |   RUNNING |    WAITING |
|                150 |   4 |     READY |    RUNNING |
|                155 |   4 |   RUNNING |    WAITING |
|                158 |   3 |   WAITING |      READY |
|                158 |   3 |     READY |    RUNNING |
|                161 |   4 |   WAITING |      READY |
|                164 |   3 |   RUNNING |    WAITING |
|                164 |   4 |     READY |    RUNNING |
|                169 |   4 |   RUNNING |    WAITING |
|                172 |   3 |   WAITING |      READY |
|                172 |   3 |     READY |    RUNNING |
|                175 |   4 |   WAITING |      READY |
|                178 |   3 |   RUNNING |    WAITING |
|                178 |   4 |     READY |    RUNNING |
|                183 |   4 |   RUNNING |    WAITING |
