+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  2 |   2 |       NEW |      READY |
|                  4 |   3 |       NEW |      READY |
|                  6 |   4 |       NEW |      READY |
|                100 |   1 |   RUNNING |    WAITING |
|                100 |   2 |     READY |    RUNNING |
|                120 |   1 |   WAITING |      READY |
|                200 |   2 |   RUNNING |      READY |
|                200 |   1 |     READY |    RUNNING |
|                201 |   1 |   RUNNING |      READY |
|                201 |   1 |     READY |    RUNNING |
|                300 |   1 |   RUNNING |    WAITING |
|                300 |   2 |     READY |    RUNNING |
|                310 |   2 |   RUNNING |    WAITING |
|                310 |   3 |     READY |    RUNNING |
|                320 |   1 |   WAITING |      READY |
|                335 |   2 |   WAITING |      READY |
|                410 |   3 |   RUNNING |      READY |
|                410 |   1 |     READY |    RUNNING |
|                411 |   1 |   RUNNING |      READY |
|                411 |   1 |     READY |    RUNNING |
|                510 |   1 |   RUNNING | TERMINATED |
|                510 |   2 |     READY |    RUNNING |
|                600 |   2 |   RUNNING |      READY |
|                600 |   2 |     READY |    RUNNING |
|                620 |   2 |   RUNNING |    WAITING |
|                620 |   3 |     READY |    RUNNING |
|                640 |   3 |   RUNNING |    WAITING |
|                640 |   4 |     READY |    RUNNING |
|                645 |   2 |   WAITING |      READY |
|                670 |   3 |   WAITING |      READY |
|                740 |   4 |   RUNNING |      READY |
|                740 |   2 |     READY |    RUNNING |
|                820 |   2 |   RUNNING |      READY |
|                820 |   2 |     READY |    RUNNING |
|                850 |   2 |   RUNNING |    WAITING |
|                850 |   3 |     READY |    RUNNING |
|                875 |   2 |   WAITING |      READY |
|                930 |   3 |   RUNNING |      READY |
|                930 |   2 |     READY |    RUNNING |
|               1000 |   2 |   RUNNING |      READY |
|               1000 |   2 |     READY |    RUNNING |
|               1040 |   2 |   RUNNING |    WAITING |
|               1040 |   3 |     READY |    RUNNING |
|               1065 |   2 |   WAITING |      READY |
|               1080 |   3 |   RUNNING |    WAITING |
|               1080 |   2 |     READY |    RUNNING |
|               1110 |   3 |   WAITING |      READY |
|               1140 |   2 |   RUNNING |      READY |
|               1140 |   2 |     READY |    RUNNING |
|               1190 |   2 |   RUNNING |    WAITING |
|               1190 |   3 |     READY |    RUNNING |
|               1215 |   2 |   WAITING |      READY |
|               1250 |   3 |   RUNNING |      READY |
|               1250 |   2 |     READY |    RUNNING |
|               1300 |   2 |   RUNNING | TERMINATED |
|               1300 |   3 |     READY |    RUNNING |
|               1360 |   3 |   RUNNING |    WAITING |
|               1360 |   4 |     READY |    RUNNING |
|               1365 |   4 |   RUNNING |    WAITING |
|               1387 |   4 |   WAITING |      READY |
|               1387 |   4 |     READY |    RUNNING |
|               1390 |   3 |   WAITING |      READY |
|               1482 |   4 |   RUNNING |      READY |
|               1482 |   3 |     READY |    RUNNING |
|               1522 |   3 |   RUNNING |      READY |
|               1522 |   3 |     READY |    RUNNING |
|               1602 |   3 |   RUNNING |    WAITING |
|               1602 |   4 |     READY |    RUNNING |
|               1612 |   4 |   RUNNING |    WAITING |
|               1632 |   3 |   WAITING |      READY |
|               1632 |   3 |     READY |    RUNNING |
|               1634 |   4 |   WAITING |      READY |
|               1652 |   3 |   RUNNING |      READY |
|               1652 |   3 |     READY |    RUNNING |
