+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |           8 |  -1, -1, -1, -1, 1, -1 |                92 |                 92 |
|             1 |          18 |   -1, -1, -1, 2, 1, -1 |                82 |                 82 |
|             2 |          30 |    -1, -1, 3, 2, 1, -1 |                70 |                 67 |
|             3 |          44 |     -1, 4, 3, 2, 1, -1 |                56 |                 42 |
|             4 |          60 |      5, 4, 3, 2, 1, -1 |                40 |                  2 |
|           694 |          52 |     5, 4, 3, 2, -1, -1 |                48 |                 10 |
|           908 |          42 |    5, 4, 3, -1, -1, -1 |                58 |                 20 |
|          1490 |          30 |   5, 4, -1, -1, -1, -1 |                70 |                 35 |
|          1912 |          16 |  5, -1, -1, -1, -1, -1 |                84 |                 60 |
|          2225 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
